ORDCOMPRA;CLIENTE;PECLIENTE;PRODUTO;DESCRICAO1;QTDE;ETIQUETA;VOLUME
OC-1001;LOJA CENTRO;1001;P001;PORTA DE VIDRO TEMPERADO 70X210;2;ETQ1001;1
OC-1001;LOJA CENTRO;1001;P002;BOX 8MM ESPELHO 90X190;1;ETQ1002;1
OC-1001;LOJA CENTRO;1001;P003;BANCADA GRANITO 120CM;3;ETQ1003;2
OC-1002;LOJA NORTE;1002;P001;PORTA DE VIDRO TEMPERADO 70X210;4;ETQ1004;2
OC-1002;LOJA NORTE;1002;P004;JANELA BASCULANTE 100X50;2;ETQ1005;1
OC-1002;LOJA NORTE;1002;P005;DIVISORIA DE ESCRITORIO;1;ETQ1006;3
OC-1003;LOJA SUL;1003;P002;BOX 8MM ESPELHO 90X190;2;ETQ1007;1
OC-1003;LOJA SUL;1003;P006;ESQUADRIAS DE ALUMINIO 200CM;5;ETQ1008;2
OC-1003;LOJA SUL;1003;P007;VIDRO LAMINADO 10MM;1;ETQ1009;1
OC-1004;LOJA OESTE;1004;P003;BANCADA GRANITO 120CM;2;ETQ1010;2
